# US cities with population >= 5,000.
# Derived from GeoNames cities5000 (https://www.geonames.org/), CC-BY 4.0.
city,state,latitude,longitude,population
Portage,IN,41.5759,-87.1762,36738
Westfield,IN,40.0428,-86.1275,36738
New Albany,IN,38.2856,-85.8241,36732
Clifton Park,NY,42.8656,-73.7709,36705
Fort Lee,NJ,40.8509,-73.9701,36672
Brighton,NY,43.1476,-77.5506,36609
Bartlesville,OK,36.7473,-95.9808,36595
Ewing,NJ,40.2698,-74.7999,36559
San Juan,TX,26.1892,-98.1553,36556
Woodhaven,NY,40.6893,-73.8579,36555
Mission Bend,TX,29.6938,-95.665,36501
San Juan Capistrano,CA,33.5017,-117.6625,36454
Pahrump,NV,36.2083,-115.9839,36441
Saint Charles,MD,38.6032,-76.9386,36376
Temple City,CA,34.1072,-118.0579,36365
Marion,OH,40.5887,-83.1285,36363
Mechanicsville,VA,37.6088,-77.3733,36348
Lufkin,TX,31.3382,-94.7291,36333
Pennsauken,NJ,39.9562,-75.058,36332
Rome,GA,34.257,-85.1647,36323
Mattapan,MA,42.2723,-71.087,36299
Claremont,CA,34.0967,-117.7198,36283
Franklin,WI,42.8886,-88.0384,36222
West Hollywood,CA,34.09,-118.3617,36222
Richfield,MN,44.8833,-93.283,36216
Bell,CA,33.9775,-118.187,36205
Lewiston,ME,44.1003,-70.2148,36202
Dunedin,FL,28.0199,-82.7732,36164
Kendall West,FL,25.7065,-80.4388,36154
Del Rio,TX,29.3627,-100.8968,36153
Oakville,MO,38.4701,-90.3046,36143
Commack,NY,40.8429,-73.2929,36124
Menomonee Falls,WI,43.1789,-88.1173,36119
Moorpark,CA,34.2856,-118.882,36104
Gadsden,AL,34.0143,-86.0064,36084
Issaquah,WA,47.5301,-122.0326,36081
Spring Hill,TN,35.7512,-86.93,36055
Trumbull,CT,41.2429,-73.2007,36018
Olive Branch,MS,34.9618,-89.8295,36010
Mooresville,NC,35.5849,-80.8101,36009
West Torrington,CT,41.8184,-73.1437,36000
Willowbrook,CA,33.917,-118.2551,35983
Leavenworth,KS,39.3111,-94.9225,35980
Clinton,MD,38.7651,-76.8983,35970
Cottage Grove,MN,44.8277,-92.9438,35918
Wildwood,MO,38.5828,-90.6629,35899
Richmond West,FL,25.6105,-80.4297,35884
Richmond,IN,39.8289,-84.8902,35854
Mount Pleasant,DC,38.9307,-77.0408,35842
Oregon City,OR,45.3573,-122.6068,35831
'Ewa Gentry-West Loch,HI,21.3533,-158.0284,35828
Goldsboro,NC,35.3849,-77.9928,35826
Manhattan Beach,CA,33.8847,-118.4109,35818
Parkland,WA,47.1554,-122.434,35803
Martinez,GA,33.5174,-82.0757,35795
East Florence,AL,34.8095,-87.6495,35733
Kyle,TX,29.9891,-97.8772,35733
Kearns,UT,40.66,-111.9963,35731
Linton Hall,VA,38.7598,-77.575,35725
Tupelo,MS,34.2581,-88.7046,35680
Hot Springs,AR,34.5037,-93.0552,35635
Wildomar,CA,33.5989,-117.28,35632
Wentzville,MO,38.8114,-90.8529,35603
Roseville,MN,45.0061,-93.1566,35580
Valrico,FL,27.9379,-82.2364,35545
Coventry,RI,41.7001,-71.6828,35525
Rosenberg,TX,29.5572,-95.8086,35510
Bettendorf,IA,41.5245,-90.5157,35505
East Point,GA,33.6795,-84.4394,35467
Prattville,AL,32.464,-86.4597,35420
Ponte Vedra Beach,FL,30.2397,-81.3856,35400
Boardman,OH,41.0242,-80.6629,35376
Cooper City,FL,26.0573,-80.2717,35364
Oxon Hill-Glassmanor,MD,38.7961,-76.975,35355
Egypt Lake-Leto,FL,28.0177,-82.5062,35282
North Lawndale,IL,41.86,-87.7184,35276
Oak Creek,WI,42.8858,-87.8631,35243
Peachtree City,GA,33.3968,-84.5958,35240
Merrillville,IN,41.4828,-87.3328,35224
Saint Cloud,FL,28.2489,-81.2812,35183
La Porte,TX,29.6658,-95.0194,35148
University City,MO,38.6559,-90.3093,35058
Upper Arlington,OH,39.9945,-83.0624,34907
Torrington,CT,41.8006,-73.1212,34906
Beverly Hills,CA,34.0736,-118.4004,34869
Inver Grove Heights,MN,44.848,-93.0427,34857
Cumberland,RI,41.9668,-71.4328,34843
Bayview-Hunters Point,CA,37.7285,-122.3811,34835
Pleasant Hill,CA,37.948,-122.0608,34810
Stow,OH,41.1595,-81.4404,34797
Lauderdale Lakes,FL,26.1665,-80.2084,34796
La Vergne,TN,36.0156,-86.5819,34794
Winter Springs,FL,28.6989,-81.3081,34789
Merritt Island,FL,28.359,-80.69,34743
Greenpoint,NY,40.7237,-73.951,34719
West Little River,FL,25.857,-80.237,34699
Brunswick,OH,41.2381,-81.8418,34689
San Dimas,CA,34.1067,-117.8067,34630
Monroe,NC,34.9854,-80.5495,34623
North Center,IL,41.9539,-87.679,34623
Queen Creek,AZ,33.2487,-111.6343,34614
Kaneohe,HI,21.3999,-157.7989,34597
Gahanna,OH,40.0192,-82.8793,34590
Leawood,KS,38.9667,-94.6169,34579
Owasso,OK,36.2695,-95.8547,34542
Derry Village,NH,42.8918,-71.312,34539
Orange,NJ,40.7707,-74.2327,34457
Central Islip,NY,40.7906,-73.2018,34450
Norristown,PA,40.1215,-75.3399,34412
Lower West Side,IL,41.8542,-87.6656,34410
Dyker Heights,NY,40.6215,-74.0096,34399
Glendale,NY,40.7015,-73.8868,34389
Cottonwood Heights,UT,40.6197,-111.8102,34343
Gallatin,TN,36.3884,-86.4467,34334
Houma,LA,29.5958,-90.7195,34287
Rubidoux,CA,33.9961,-117.4056,34280
Collinwood,OH,41.5584,-81.5693,34220
Glendale Heights,IL,41.9146,-88.0649,34208
Butte,MT,46.0038,-112.5347,34190
Dana Point,CA,33.467,-117.6981,34181
Benton,AR,34.5645,-92.5868,34177
Vestavia Hills,AL,33.4487,-86.7878,34174
La Presa,CA,32.7081,-116.9972,34169
Oakton,VA,38.8809,-77.3008,34166
Chester,PA,39.8475,-75.3578,34092
Mount Vernon,WA,48.4212,-122.3341,34053
Studio City,CA,34.1486,-118.3965,34034
Salisbury,NC,35.671,-80.4742,34017
Riviera Beach,FL,26.7753,-80.0581,34005
Orangevale,CA,38.6785,-121.2258,33960
Oswego,IL,41.6828,-88.3515,33955
El Mirage,AZ,33.6131,-112.3246,33935
West Lake Sammamish,WA,47.5776,-122.1012,33929
North Bel Air,MD,39.5398,-76.355,33925
Chelmsford,MA,42.5998,-71.3673,33925
Bay City,MI,43.5945,-83.8889,33917
Nacogdoches,TX,31.6035,-94.6555,33894
Shrewsbury,MA,42.2959,-71.7129,33893
McMinnville,OR,45.2101,-123.1987,33892
Dakota Ridge,CO,39.6164,-105.1393,33892
Bridgeport,IL,41.8381,-87.6512,33878
Dalton,GA,34.7698,-84.9702,33853
Olney,MD,39.1532,-77.0669,33844
North Providence,RI,41.8501,-71.4662,33835
Newark,DE,39.6837,-75.7497,33817
Oak Hill,VA,38.9258,-77.4016,33811
Deer Park,TX,29.7052,-95.1238,33806
Holland,MI,42.7875,-86.1089,33742
Throgs Neck,NY,40.8226,-73.8196,33683
Northbrook,IL,42.1275,-87.829,33663
Hilliard,OH,40.0334,-83.1582,33649
Wenatchee,WA,47.4235,-120.3103,33636
West Fargo,ND,46.875,-96.9004,33597
Fair Lawn,NJ,40.9404,-74.1318,33597
Kennesaw,GA,34.0234,-84.6155,33584
New City,NY,41.1476,-73.9893,33559
Long Beach,NY,40.5884,-73.6579,33550
Richmond,KY,37.7479,-84.2947,33533
Suitland-Silver Hill,MD,38.8469,-76.9259,33515
Chillum,MD,38.9637,-76.9908,33513
Foster City,CA,37.5585,-122.2711,33477
Fairborn,OH,39.8209,-84.0194,33452
Menlo Park,CA,37.4538,-122.1822,33449
Chicago Loop,IL,41.8841,-87.6333,33442
Cibolo,TX,29.5616,-98.227,33433
Lawndale,CA,33.8872,-118.3526,33430
Hinesville,GA,31.8469,-81.596,33398
Waxahachie,TX,32.3865,-96.8483,33384
St. Charles,MD,38.6073,-76.9248,33379
Cobbs Creek,PA,39.9476,-75.2402,33373
Woodridge,IL,41.747,-88.0503,33370
Carrollwood,FL,28.05,-82.4929,33365
Brentwood,CA,34.0519,-118.474,33312
Somerton,PA,40.1234,-75.0149,33247
Elk Grove Village,IL,42.0039,-87.9703,33238
Pekin,IL,40.5675,-89.6407,33223
Socorro,TX,31.6546,-106.3033,33222
Elmont,NY,40.7009,-73.7129,33198
Adelanto,CA,34.5828,-117.4092,33166
Tooele,UT,40.5308,-112.2983,33157
Golden Glades,FL,25.9118,-80.2003,33145
Marrero,LA,29.8994,-90.1004,33141
Jackson,MI,42.2459,-84.4013,33133
Foothill Farms,CA,38.6788,-121.3511,33121
Englewood,CO,39.6478,-104.9878,33082
Copperas Cove,TX,31.1241,-97.9031,33081
Bath Beach,NY,40.6046,-74.0043,33080
Huntington Station,NY,40.8534,-73.4115,33029
Seaside,CA,36.6111,-121.8516,33025
Kearney,NE,40.6995,-99.0815,33021
Redan,GA,33.7454,-84.1316,33015
Manitowoc,WI,44.0886,-87.6576,33010
Williamsburg,NY,40.7143,-73.9535,33000
Goshen,IN,41.5823,-85.8344,32983
St. Charles,IL,41.9142,-88.3087,32974
Greenacres City,FL,26.6237,-80.1253,32963
Kiryas Joel,NY,41.342,-74.1679,32954
Salisbury,MD,38.3607,-75.5994,32899
Douglasville,GA,33.7515,-84.7477,32897
Silver Lake,CA,34.0867,-118.2702,32890
Security-Widefield,CO,38.7473,-104.7144,32882
University Place,WA,47.2356,-122.5504,32842
Pullman,WA,46.7313,-117.1796,32816
West Lawn,IL,41.7728,-87.7223,32749
Mount Lebanon,PA,40.3554,-80.0495,32730
Windsor,CO,40.4775,-104.9014,32716
Alabaster,AL,33.2443,-86.8164,32707
Farmers Branch,TX,32.9265,-96.8961,32689
Oildale,CA,35.4197,-119.0195,32684
La Verne,CA,34.1008,-117.7678,32681
Mason,OH,39.3601,-84.3099,32662
Eastpointe,MI,42.4684,-82.9555,32657
Bustleton,PA,40.0826,-75.0316,32655
Gillette,WY,44.2911,-105.5022,32649
Valparaiso,IN,41.4731,-87.0611,32626
Midvale,UT,40.6111,-111.8999,32613
Spring Valley,NY,41.1131,-74.0438,32598
Rome,NY,43.2129,-75.4557,32573
Lewiston,ID,46.4166,-117.0177,32544
West Village,NY,40.7336,-74.0092,32518
North Ridgeville,OH,41.3895,-82.019,32483
Petersburg,VA,37.2279,-77.4019,32477
Santa Rosa Beach,FL,30.396,-86.2288,32459
Ken Caryl,CO,39.5758,-105.1122,32438
Randallstown,MD,39.3673,-76.7952,32430
Westlake,OH,41.4553,-81.9179,32428
Bangor,ME,44.7988,-68.7726,32391
Clermont,FL,28.5494,-81.7729,32390
Sun Prairie,WI,43.1836,-89.2137,32365
Georgetown,KY,38.2098,-84.5588,32356
Greater Grand Crossing,IL,41.7611,-87.6149,32346
Fairbanks,AK,64.8378,-147.7164,32325
College Park,MD,38.9807,-76.9369,32301
Springville,UT,40.1652,-111.6107,32286
Natick,MA,42.2834,-71.3495,32276
Massillon,OH,40.7967,-81.5215,32252
Walla Walla,WA,46.0646,-118.343,32237
Florence,KY,38.999,-84.6266,32227
Andover,MN,45.2333,-93.2913,32213
Hopkinsville,KY,36.8656,-87.4912,32205
Overbrook,PA,39.9893,-75.2432,32181
Laramie,WY,41.3114,-105.5911,32158
Greenville,MS,33.409,-91.0598,32156
West Englewood,IL,41.7781,-87.6667,32156
Bethel Park,PA,40.3276,-80.0395,32118
Cookeville,TN,36.1628,-85.5016,32113
Randolph,MA,42.1626,-71.0412,32112
Oceanside,NY,40.6387,-73.6401,32109
Danville,IL,40.1245,-87.63,32108
Helena,MT,46.5927,-112.0361,32091
Montgomery Village,MD,39.1768,-77.1953,32032
North Olmsted,OH,41.4156,-81.9235,32004
Land O' Lakes,FL,28.2189,-82.4576,31996
Watertown,MA,42.3709,-71.1828,31915
Glastonbury,CT,41.7123,-72.6081,31876
Westmont,CA,33.9414,-118.3023,31853
Hyde Park,MA,42.2557,-71.1245,31845
Garfield,NJ,40.8815,-74.1132,31802
Laguna Hills,CA,33.6125,-117.7128,31748
West Bend,WI,43.4253,-88.1834,31695
Willingboro,NJ,40.0279,-74.8691,31668
Cicero,NY,43.1756,-76.1194,31632
Mundelein,IL,42.2631,-88.004,31582
Centereach,NY,40.8584,-73.0995,31578
Juneau,AK,58.3019,-134.4197,31555
Mount Juliet,TN,36.2,-86.5186,31540
Naugatuck,CT,41.4859,-73.0507,31538
San Luis,AZ,32.487,-114.7822,31520
Brighton Beach,NY,40.5779,-73.9596,31462
Michigan City,IN,41.7075,-86.895,31459
Dania Beach,FL,26.0523,-80.1439,31446
Makiki / Lower Punchbowl / Tantalus,HI,21.3176,-157.8312,31434
Lewiston Orchards,ID,46.3804,-116.9754,31422
Lexington,MA,42.4473,-71.2245,31394
Chatham,IL,41.7411,-87.6125,31392
Navarre,FL,30.4016,-86.8636,31378
Holly Springs,NC,35.6513,-78.8336,31377
Shawnee,OK,35.3273,-96.9253,31286
Brentwood Estates,TN,36.0251,-86.7792,31279
Galesburg,IL,40.9478,-90.3712,31273
Bowling Green,OH,41.3748,-83.6513,31246
Des Moines,WA,47.4018,-122.3243,31221
Wheat Ridge,CO,39.7661,-105.0772,31192
Florence,AZ,33.0314,-111.3873,31110
Gurnee,IL,42.3703,-87.902,31056
Myrtle Beach,SC,33.6891,-78.8867,31035
Parkersburg,WV,39.2667,-81.5615,30991
Miami Lakes,FL,25.9087,-80.3087,30972
Saratoga,CA,37.2638,-122.023,30968
East Lake,FL,28.1108,-82.6948,30962
Banning,CA,33.9256,-116.8764,30945
Goleta,CA,34.4358,-119.8276,30944
Lakeside,FL,30.13,-81.7682,30943
Long Branch,NJ,40.3043,-73.9924,30941
Fair Oaks,CA,38.6446,-121.2722,30912
Wayne,PA,40.044,-75.3877,30892
Lake Stevens,WA,48.0151,-122.0637,30886
Dover,NH,43.1979,-70.8737,30880
Radnor,PA,40.0462,-75.3599,30878
Holladay,UT,40.6688,-111.8247,30864
Herriman,UT,40.5141,-112.033,30835
South Kingstown,RI,41.4472,-71.5249,30826
Estero,FL,26.4381,-81.8067,30799
Ithaca,NY,42.4406,-76.4966,30788
North Tonawanda,NY,43.0387,-78.8642,30785
Brooklyn Center,MN,45.0761,-93.3327,30770
Pikesville,MD,39.3743,-76.7225,30764
New Iberia,LA,30.0035,-91.8187,30754
Alamogordo,NM,32.8995,-105.9603,30753
Parkville,MD,39.3773,-76.5397,30734
Statesboro,GA,32.4488,-81.7832,30721
Morgantown,WV,39.6295,-79.9559,30708
Los Gatos,CA,37.2266,-121.9747,30705
Matthews,NC,35.1168,-80.7237,30678
Los Altos,CA,37.3852,-122.1141,30671
Clearfield,UT,41.1108,-112.026,30653
Franklin,MA,42.0834,-71.3967,30636
Owings Mills,MD,39.4196,-76.7802,30622
Hawai'i Kai,HI,21.2964,-157.7018,30620
Aiken,SC,33.5604,-81.7195,30604
Plainfield,IN,39.7042,-86.3994,30590
Ballwin,MO,38.5951,-90.5462,30577
Manchester,CT,41.7759,-72.5215,30577
Algonquin,IL,42.1656,-88.2943,30571
Bel Air North,MD,39.5543,-76.3731,30568
Newington,CT,41.6979,-72.7237,30562
Westfield,NJ,40.659,-74.3474,30548
Santa Paula,CA,34.3542,-119.0593,30546
Fallbrook,CA,33.3764,-117.2511,30534
Eldersburg,MD,39.4037,-76.9503,30531
Sherwood,AR,34.8151,-92.2243,30517
Springfield Gardens,NY,40.6631,-73.7622,30515
Lawrenceville,GA,33.9562,-83.988,30493
Springfield,VA,38.7893,-77.1872,30484
Kaysville,UT,41.0352,-111.9386,30472
Granger,IN,41.7534,-86.1108,30465
Burlingame,CA,37.5841,-122.3661,30459
Post Falls,ID,47.718,-116.9516,30453
Liberty,MO,39.2461,-94.4191,30450
West Roxbury,MA,42.2793,-71.1495,30442
San Pablo,CA,37.9622,-122.3455,30407
Savage,MN,44.7791,-93.3363,30391
Poughkeepsie,NY,41.7004,-73.921,30371
Texarkana,AR,33.4418,-94.0377,30353
North Royalton,OH,41.3137,-81.7246,30311
Chicago Heights,IL,41.5061,-87.6356,30284
Lebanon,TN,36.2081,-86.2911,30262
Walnut,CA,34.0203,-117.8653,30237
Madison Heights,MI,42.4859,-83.1052,30198
DeLand,FL,29.0283,-81.3031,30195
Cedar City,UT,37.6775,-113.0619,30184
Parkland,FL,26.3101,-80.2373,30177
West Warwick,RI,41.6969,-71.5219,30146
Jamestown,NY,42.097,-79.2353,30075
New Bern,NC,35.1085,-77.0441,30070
Rochester,NH,43.3045,-70.9756,30038
Cleburne,TX,32.3476,-97.3867,30020
Ashmont,MA,42.2834,-71.0689,30000
Winter Park,FL,28.6,-81.3392,29943
Carney,MD,39.3943,-76.5236,29941
Southlake,TX,32.9412,-97.1342,29941
San Carlos,CA,37.5072,-122.2605,29931
Woodstock,GA,34.1015,-84.5194,29898
East Hill-Meridian,WA,47.4105,-122.1737,29878
Niles,IL,42.0189,-87.8028,29876
Laplace,LA,30.067,-90.4815,29872
Westchester,FL,25.7548,-80.3273,29862
Atascadero,CA,35.4894,-120.6707,29819
Kent,OH,41.1537,-81.3579,29810
Gloucester,MA,42.614,-70.6631,29781
Nicholasville,KY,37.8806,-84.573,29754
Oak Park,MI,42.4595,-83.1827,29752
Highland Park,IL,42.1817,-87.8003,29743
Elizabethtown,KY,37.694,-85.8591,29678
Austintown,OH,41.1017,-80.7645,29677
East Palo Alto,CA,37.4688,-122.1411,29662
South Gate,MD,39.129,-76.6258,29658
Pueblo West,CO,38.35,-104.7228,29637
Port Chester,NY,41.0018,-73.6657,29620
Princeton,NJ,40.3487,-74.659,29603
Fort Cavazos,TX,31.1349,-97.7756,29589
LaGrange,GA,33.0393,-85.0313,29588
Salem,NH,42.7884,-71.2009,29549
Opelika,AL,32.6454,-85.3783,29527
Rahway,NJ,40.6082,-74.2776,29508
North Chicago,IL,42.3256,-87.8412,29491
Middle Village,NY,40.7165,-73.8812,29491
Morristown,TN,36.214,-83.2949,29478
Cheshire,CT,41.499,-72.9007,29443
Branford,CT,41.2795,-72.8151,29438
Raytown,MO,39.0086,-94.4636,29401
Fruit Cove,FL,30.1111,-81.6418,29362
Port Huron,MI,42.9709,-82.4249,29330
Tewksbury,MA,42.6106,-71.2342,29326
Glenville,NY,42.9292,-74.0521,29326
Franklin Square,NY,40.7073,-73.676,29320
Oak Ridge,TN,36.0104,-84.2696,29302
Longfellow Community,MN,44.9426,-93.2256,29295
Southgate,MI,42.2139,-83.1938,29293
East Haven,CT,41.2762,-72.8684,29257
Upper Alton,IL,38.9114,-90.1507,29251
Johnston,RI,41.8219,-71.5067,29247
Atwater,CA,37.3477,-120.6091,29237
West Falls Church,VA,38.8648,-77.1879,29207
Williamsport,PA,41.2412,-77.0011,29201
Duluth,GA,34.0029,-84.1446,29193
Fort Bragg,NC,35.139,-79.006,29183
Russellville,AR,35.2784,-93.1338,29166
Sanford,NC,35.4799,-79.1803,29144
Harker Heights,TX,31.0835,-97.6597,29142
Burbank,IL,41.7339,-87.7795,29128
Marion,IN,40.5584,-85.6591,29081
Granite City,IL,38.7014,-90.1487,29054
Milford Mill,MD,39.3479,-76.77,29042
Lake in the Hills,IL,42.1817,-88.3304,29024
Evans,GA,33.5337,-82.1307,29011
O'Fallon,IL,38.5923,-89.9112,29002
Fort Hamilton,NY,40.6187,-74.0332,28966
Carlsbad,NM,32.4207,-104.2288,28957
Ferry Pass,FL,30.5102,-87.2125,28921
Airport,HI,21.3399,-157.9284,28916
Kingman,AZ,35.1894,-114.053,28912
Orcutt,CA,34.8653,-120.436,28905
Henderson,KY,37.8362,-87.59,28890
Needham,MA,42.2834,-71.2328,28886
Crown Point,IN,41.417,-87.3653,28879
Big Spring,TX,32.2504,-101.4787,28862
Dracut,MA,42.6704,-71.302,28831
Allston,MA,42.3584,-71.1259,28821
Schererville,IN,41.4789,-87.4548,28791
Burton,MI,42.9995,-83.6163,28788
Ridgecrest,CA,35.6225,-117.6709,28780
Windsor,CT,41.8526,-72.6437,28778
Eagle Pass,TX,28.7091,-100.4995,28765
Agawam,MA,42.0695,-72.6148,28761
Weatherford,TX,32.7593,-97.7973,28742
West Elkridge,MD,39.2071,-76.7269,28734
East Chicago,IN,41.6392,-87.4548,28699
Redmond,OR,44.2726,-121.1739,28654
Jacksonville,AR,34.8662,-92.1102,28643
Socorro Mission Number 1 Colonia,TX,31.6362,-106.2905,28637
Norwood,MA,42.1945,-71.1995,28602
Northampton,MA,42.3251,-72.6412,28540
Englewood,NJ,40.8929,-73.9726,28539
Lake Magdalene,FL,28.0742,-82.4718,28509
Perry Hall,MD,39.4126,-76.4636,28474
Maryville,TN,35.7565,-83.9705,28464
Hobart,IN,41.5323,-87.255,28404
Fresh Meadows,NY,40.7348,-73.7935,28397
Frankfort,KY,38.2009,-84.8733,28391
Mehlville,MO,38.5084,-90.3229,28380
Greer,SC,34.9387,-82.2271,28365
Lansing,IL,41.5648,-87.5389,28349
Harrison,NY,40.969,-73.7126,28348
Monterey,CA,36.6002,-121.8947,28338
West Islip,NY,40.7062,-73.3062,28335
Desert Hot Springs,CA,33.9617,-116.5035,28335
American Fork,UT,40.3769,-111.7958,28326
Central,LA,30.5543,-91.0368,28295
Newburgh,NY,41.5034,-74.0104,28290
McCully - Moiliili,HI,21.2946,-157.8312,28249
Chamblee,GA,33.892,-84.2988,28244
Millville,NJ,39.4021,-75.0393,28230
North Andover,MA,42.6987,-71.1351,28222
SeaTac,WA,47.4485,-122.2922,28215
Elmira,NY,42.0898,-76.8077,28213
Spring Valley,CA,32.7448,-116.9989,28205
Stockbridge,GA,33.5443,-84.2338,28202
Glen Ellyn,IL,41.8775,-88.067,28201
Monroeville,PA,40.4212,-79.7881,28176
Benicia,CA,38.0494,-122.1586,28167
Fredericksburg,VA,38.3032,-77.4605,28118
Suisun,CA,38.2383,-122.0402,28111
Aberdeen,SD,45.4647,-98.4865,28102
Cranberry Township,PA,40.685,-80.1071,28098
Garfield Heights,OH,41.417,-81.606,28097
South Chicago,IL,41.7398,-87.5542,28095
Cornelius,NC,35.4868,-80.8601,28092
Oakdale,MN,44.963,-92.9649,28080
Oak Forest,IL,41.6028,-87.7439,28074
Garner,NC,35.7113,-78.6142,28053
Holmesburg,PA,40.0415,-75.028,28046
Drexel Hill,PA,39.9471,-75.2921,28043
Vestal,NY,42.0851,-76.0538,28043
North Kingstown,RI,41.5501,-71.4662,28042
Bella Vista,AR,36.4807,-94.2713,27999
Melrose,MA,42.4584,-71.0662,27997
Fitchburg,WI,42.9608,-89.4698,27996
Gramercy Park,NY,40.7375,-73.9861,27988
Wellesley,MA,42.2965,-71.2926,27982
Enterprise,AL,31.3152,-85.8552,27978
Winchester,NV,36.13,-115.1189,27978
Slidell,LA,30.2752,-89.7812,27942
University Heights,NY,40.8601,-73.9093,27935
West Springfield,MA,42.107,-72.6204,27912
Dodge City,KS,37.7528,-100.0171,27912
Paragould,AR,36.0584,-90.4973,27900
Maywood,CA,33.9867,-118.1853,27888
Seguin,TX,29.5688,-97.9647,27864
Shirley,NY,40.8015,-72.8676,27854
Livingston,NJ,40.7959,-74.3149,27853
Round Lake Beach,IL,42.3717,-88.0901,27852
Sterling,VA,39.0062,-77.4286,27822
Middletown,NY,41.4459,-74.4229,27812
Fountain,CO,38.6822,-104.7008,27767
Saratoga Springs,NY,43.0831,-73.7846,27765
Kirkwood,MO,38.5834,-90.4068,27750
Drexel Heights,AZ,32.1412,-111.0284,27749
Deer Park,NY,40.7618,-73.3293,27745
Lafayette,CO,39.9936,-105.0897,27729
Fridley,MN,45.0861,-93.2633,27713
West Scarborough,ME,43.5704,-70.3878,27706
Queensbury,NY,43.3773,-73.6132,27703
Roslindale,MA,42.2912,-71.1245,27683
Rexburg,ID,43.826,-111.7897,27663
Wheeling,WV,40.064,-80.7209,27648
Shaker Heights,OH,41.4739,-81.5371,27646
Mililani Town,HI,21.4504,-158.015,27629
Bergenfield,NJ,40.9276,-73.9974,27621
Marshalltown,IA,42.0494,-92.908,27620
Tucker,GA,33.8546,-84.2171,27581
Nutley,NJ,40.8223,-74.1599,27572
Port Richmond,PA,39.9935,-75.1002,27554
Lake Jackson,TX,29.0339,-95.4344,27533
Plum,PA,40.5003,-79.7495,27505
Windsor,CA,38.5471,-122.8164,27464
West Chicago,IL,41.8847,-88.204,27447
Allen Park,MI,42.2575,-83.211,27425
Wilmette,IL,42.0722,-87.7228,27413
Imperial Beach,CA,32.5839,-117.1131,27408
Glen Cove,NY,40.8623,-73.6337,27400
Syracuse,UT,41.0894,-112.0647,27395
Maryland Heights,MO,38.7131,-90.4298,27389
Mason City,IA,43.1536,-93.201,27366
Crofton,MD,39.0018,-76.6875,27348
Anderson,SC,34.5034,-82.6501,27335
Eagle Mountain,UT,40.3141,-112.0069,27332
College Point,NY,40.7876,-73.846,27307
Winchester,VA,39.1857,-78.1633,27284
Lindenhurst,NY,40.6868,-73.3735,27277
Spanaway,WA,47.104,-122.4346,27227
Belmont,CA,37.5202,-122.2758,27218
Hunts Point,NY,40.8126,-73.884,27204
Holbrook,NY,40.8123,-73.0784,27195
New London,CT,41.3556,-72.0995,27179
Paso Robles,CA,35.6266,-120.691,27157
Tualatin,OR,45.384,-122.764,27154
Fleming Island,FL,30.0933,-81.719,27126
Winona,MN,44.05,-91.6393,27094
Agua Caliente,CA,38.3241,-122.488,27090
Thomasville,NC,35.8826,-80.082,27061
Casselberry,FL,28.6778,-81.3278,27056
Eureka,CA,40.8021,-124.1637,27017
East Saint Louis,IL,38.6245,-90.1509,27006
Garden City,KS,37.9717,-100.8727,27005
Alton,IL,38.8906,-90.1843,27003
Milton,MA,42.2495,-71.0662,27003
University Park,FL,25.7465,-80.3675,26995
Auburn,NY,42.9317,-76.5661,26985
Williston,ND,48.147,-103.618,26977
Paramus,NJ,40.9445,-74.0754,26974
Back Mountain,PA,41.3359,-75.9963,26973
West Milford,NJ,41.1312,-74.3674,26968
Jeffersontown,KY,38.1942,-85.5644,26946
Garden City,MI,42.3256,-83.331,26920
Horn Lake,MS,34.9554,-90.0348,26915
Stoughton,MA,42.1251,-71.1023,26915
Easton,PA,40.6884,-75.2207,26915
Prairieville,LA,30.303,-90.972,26895
Hyde Park,IL,41.7942,-87.5939,26893
Dix Hills,NY,40.8048,-73.3362,26892
Gladstone,MO,39.2039,-94.5547,26861
Cutler Ridge,FL,25.5807,-80.3467,26831
Independence,KY,38.9431,-84.5441,26819
Watertown,NY,43.9748,-75.9108,26780
Wooster,OH,40.8052,-81.9365,26749
Bessemer,AL,33.4018,-86.9544,26730
Merrimack,NH,42.8651,-71.4934,26726
Lemon Grove,CA,32.7426,-117.0314,26709
Kankakee,IL,41.12,-87.8611,26676
Wethersfield,CT,41.7143,-72.6526,26668
Bristol,TN,36.5951,-82.1887,26666
McHenry,IL,42.3334,-88.2668,26657
Saugus,MA,42.4648,-71.0101,26628
Stevens Point,WI,44.5236,-89.5746,26604
West Linn,OR,45.3657,-122.6123,26593
Superior,WI,46.7208,-92.1041,26579
Tujunga,CA,34.2522,-118.2884,26527
Greenville,TX,33.1384,-96.1108,26515
Magna,UT,40.7091,-112.1016,26505
Batavia,IL,41.85,-88.3126,26495
Cantonment,FL,30.6085,-87.34,26493
Danvers,MA,42.5751,-70.93,26493
Shoreview,MN,45.0791,-93.1472,26477
Paradise,CA,39.7596,-121.6219,26476
Fremont,NE,41.4333,-96.4981,26474
Smithtown,NY,40.8559,-73.2007,26470
Pearl,MS,32.2746,-90.132,26462
Mansfield City,CT,41.7659,-72.2337,26439
Mercerville-Hamilton Square,NJ,40.2313,-74.6722,26419
North Creek,WA,47.8195,-122.1762,26410
Carbondale,IL,37.7273,-89.2168,26399
Westport,CT,41.1415,-73.3579,26391
Medina,OH,41.1384,-81.8637,26339
